# time,x_position,y_position,z_position
92.55925593,109390.25467060,87505.69850088,-7253.39157829
92.56925693,110411.02228612,86895.70149136,-8194.93318686
92.57925793,111517.40437099,86570.27350713,-9179.27546289
92.58925893,112636.11761376,86544.64768257,-10201.63054679
92.59925993,113696.84695055,86813.75988826,-11252.76083988
92.60926093,114633.55610541,87351.44278841,-12318.99621673
92.61926193,115391.54411686,88119.40841902,-13384.63253888
92.62926293,115928.70209900,89074.42846253,-14432.52406131
92.63926393,116214.39927404,90166.21164391,-15445.09420053
92.64926493,116232.34996813,91339.70233221,-16405.63047731
92.65926593,115979.60230306,92538.49712058,-17299.02088931
92.66926693,115460.69456872,93708.90705755,-18111.13866055
92.67926793,114689.21523821,94798.05963740,-18829.86853734
92.68926893,113689.44576059,95757.08484719,-19447.07622994
92.69926993,112496.36221289,96541.13420472,-19958.61567014
92.70927093,111152.33608089,97112.15628946,-20364.24022585
92.71927193,109703.43420336,97436.57023306,-20666.05398173
92.72927293,108202.92657793,97487.85992505,-20871.02382115
92.73927393,106709.92537452,97251.75852744,-20992.35567600
92.74927493,105289.29592329,96726.25944218,-21049.46861310
92.75927593,104005.86676115,95921.82000502,-21066.21840642
92.76927693,102923.19560214,94863.05188076,-21071.43176632
92.77927793,102097.71130660,93593.38145115,-21098.62772143
92.78927893,101574.27992073,92174.86064443,-21184.43552413
92.79927993,101381.98270240,90684.32162491,-21366.16769406
92.80928093,101526.63123172,89209.59428426,-21677.80835391
92.81928193,101984.07444711,87843.56578009,-22145.07526144
92.82928293,102704.00616081,86674.57307506,-22783.22780647
92.83928393,103615.24699015,85779.59428870,-23595.95104616
92.84928493,104629.12632332,85209.86272076,-24569.12085679
92.85928593,105644.66278289,84989.02900593,-25671.92029240
92.86928693,106569.49730804,85116.25886355,-26864.78024807
92.87928793,107320.60272970,85568.66361818,-28100.21732603
92.88928893,107833.38393938,86298.56344852,-29326.41962116
92.89928993,108063.70474803,87239.99505052,-30490.94001875
92.90929093,107986.60684564,88324.01672382,-31546.06030843
92.91929193,107595.53460068,89475.48607556,-32449.52188624
92.92929293,106905.32555255,90616.62179760,-33168.72623379
92.93929393,105948.00355566,91672.77529993,-33681.32621011
92.94929493,104765.78704074,92573.23069435,-33972.06602697
92.95929593,103414.30670148,93254.66846321,-34038.04531447
92.96929693,101962.82048753,93664.76567129,-33891.04289081
92.97929793,100489.68675847,93764.64671197,-33555.91867138
92.98929893,99077.12502969,93528.44168208,-33067.00788827
92.99929993,97810.34053479,92950.54585541,-32471.95793350
93.00930093,96771.93300014,92052.87087381,-31832.22414440
93.01930193,96034.05140043,90883.43529070,-31217.12690985
93.02930293,95656.38699677,89513.46169719,-30700.75333204
93.03930393,95668.07410976,88038.85187021,-30352.77950500
93.04930493,96058.94353445,86579.76306916,-30232.98947857
93.05930593,96782.85554443,85259.13566931,-30381.04655091
93.06930693,97762.27189834,84191.40801733,-30814.89840887
93.07930793,98891.44456695,83463.53676239,-31520.25067121
93.08930893,100041.62204021,83127.44524484,-32448.75175235
93.09930993,101094.59377437,83197.68855568,-33535.23035239
93.10931093,101946.47679288,83655.36484916,-34701.63985633
93.11931193,102519.53848786,84444.13009773,-35862.85592133
93.12931293,102765.92517013,85484.38013678,-36936.74002886
93.13931393,102663.85501893,86688.26121496,-37850.47815456
93.14931493,102219.80886737,87959.81274189,-38545.60053087
93.15931593,101467.96535641,89200.90340409,-38981.58192397
93.16931693,100458.39175524,90319.91450549,-39132.84320223
93.17931793,99257.43400913,91232.76832966,-38991.50002892
93.18931893,97947.87722064,91869.71880939,-38572.45916201
93.19931993,96621.60656183,92179.20460232,-37909.82724987
93.20932093,95375.78656206,92125.33645959,-37051.70312918
93.21932193,94306.94603066,91701.37175901,-36064.36655278
93.22932293,93506.02345115,90934.99616813,-35031.84443359
93.23932393,93047.57552475,89884.31092415,-34043.87652201
93.24932493,92987.38546850,88635.36617337,-33191.91035542
93.25932593,93339.38972564,87303.42791882,-32555.95903977
93.26932693,94072.94481654,86027.02030738,-32198.85440283
93.27932793,95121.76271736,84937.47948110,-32153.47741158
93.28932893,96387.22580465,84149.09324765,-32422.27088725
93.29932993,97742.40186752,83738.63431662,-32967.25742314
93.30933093,99056.09665695,83741.82780067,-33722.70563116
93.31933193,100212.69110887,84156.28524480,-34609.14469108
93.32933293,101120.09800604,84939.61681196,-35538.25576670
93.33933393,101716.82698971,86017.19884525,-36421.72407869
93.34933493,101969.49230075,87303.80016495,-37181.74595388
93.35933593,101872.82819690,88704.44971921,-37754.08299143
93.36933693,101450.67160420,90120.50423116,-38092.86574379
93.37933793,100744.01657462,91459.34933162,-38167.83525871
93.38933893,99809.12347581,92635.00462526,-37964.49926516
93.39933993,98718.16614225,93574.79239540,-37489.04712594
93.40934093,97554.10997979,94222.34679781,-36766.03181205
93.41934193,96404.01673082,94535.61715563,-35831.28283548
93.42934293,95357.74399294,94494.67994608,-34735.20034972
93.43934393,94503.08623735,94109.17844481,-33543.37014776
93.44934493,93918.00558688,93416.31083097,-32329.43273998
93.45934593,93669.80654812,92476.63703108,-31168.89086933
